symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
BANKBARODA,EQ,247.5,255.1,246.05,254.4,246.8,3.08,9317886,23446.596541799998,N,05-Jun-2026,Dividend - Rs 8.50 Per Share,3.08,FOSec,2026-07-20
TRENT,EQ,2840.0,2935.0,2837.0,2926.0,2842.4,2.94,1140763,33196.8877578,N,12-Jun-2026,Dividend - Rs 4 Per Share,2.94,FOSec,2026-07-20
CANBK,EQ,125.15,129.14,125.06,128.63,125.01,2.9,31231529,39904.5246033,N,12-Jun-2026,Dividend - Rs 4.20 Per Share,2.9,FOSec,2026-07-20
VEDL,EQ,253.05,261.5,252.8,260.3,253.05,2.87,9287155,24059.303743,N,30-Apr-2026,Demerger,2.87,FOSec,2026-07-20
MCX,EQ,2749.0,2833.0,2739.3,2822.1,2747.5,2.72,1308556,36621.1173604,N,02-Jan-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2.72,FOSec,2026-07-20
CIPLA,EQ,1425.7,1466.6,1419.5,1457.2,1418.7,2.71,1042464,15120.5233344,N,05-Jun-2026,Dividend - Rs 13 Per Share,2.71,FOSec,2026-07-20
INDIANB,EQ,832.4,857.0,830.55,854.7,832.4,2.68,3265477,27681.121981300003,N,10-Jun-2026,Dividend - Rs 18.25 Per Share,2.68,FOSec,2026-07-20
AUROPHARMA,EQ,1533.4,1574.8,1533.4,1574.0,1533.4,2.65,883592,13742.152939200001,N,17-Apr-2026,Buy Back,2.65,FOSec,2026-07-20
MANAPPURAM,EQ,326.7,334.8,324.15,333.95,325.45,2.61,2145366,7098.372484199999,N,11-May-2026,Interim Dividend - Re 0.50 Per Share,2.61,FOSec,2026-07-20
CONCOR,EQ,490.0,500.0,485.05,499.0,486.9,2.49,1337459,6608.384919,N,09-Feb-2026,Interim Dividend - Rs 3.40 Per Share,2.49,FOSec,2026-07-20
CAMS,EQ,750.0,771.0,742.0,769.2,751.1,2.41,664123,5057.2302327,N,10-Jul-2026,Dividend - Rs 4 Per Share,2.41,FOSec,2026-07-20
BANKINDIA,EQ,143.0,147.08,142.66,146.57,143.17,2.37,7443855,10805.499918,N,29-May-2026,Dividend - Rs 4.65 Per Share,2.37,FOSec,2026-07-20
SOLARINDS,EQ,18500.0,18999.0,18500.0,18881.0,18467.0,2.24,159313,30011.0961766,N,28-Jul-2026,Dividend - Rs 11 Per Share,2.24,FOSec,2026-07-20
SHALPAINTS,EQ,49.4,58.78,49.4,58.78,48.99,19.98,786367,447.9146432,N,20-Sep-2024,Annual General Meeting,19.98,allSec,2026-07-20
TATVA,EQ,1525.0,1713.7,1520.0,1692.8,1428.1,18.54,3180401,53165.1733165,N,12-Sep-2025,Dividend - Re 1  Per Share,18.54,allSec,2026-07-20
BEPL,EQ,115.75,132.88,111.37,130.73,113.1,15.59,87763464,111468.3756264,N,13-Jul-2026,Dividend - Re 1 Per Share,15.59,allSec,2026-07-20
ASHIMASYN,EQ,15.29,17.23,15.0,16.58,14.36,15.46,2013041,329.1322035,N,11-Aug-2022,Annual General Meeting,15.46,allSec,2026-07-20
BECTORFOOD,EQ,187.0,215.95,185.1,213.52,188.63,13.2,61835933,128649.6586065,N,17-Feb-2026,Interim Dividend - Rs 0.60 Per Share,13.2,allSec,2026-07-20
BETA,EQ,2299.0,2674.0,2299.0,2515.0,2229.1,12.83,442327,11142.969085899998,N,-,-,12.83,allSec,2026-07-20
KROSS,EQ,194.4,224.0,194.0,215.93,192.25,12.32,22901099,49743.4771379,N,-,-,12.32,allSec,2026-07-20
DPABHUSHAN,EQ,1336.0,1548.0,1272.0,1483.25,1336.0,11.02,850803,12555.3849513,N,22-Sep-2023,Dividend - Rs 1 Per Share,11.02,allSec,2026-07-20
JGCHEM,EQ,452.7,505.0,447.3,492.0,445.45,10.45,1907141,9247.5359949,N,05-Aug-2025,Dividend - Re 1 Per Share,10.45,allSec,2026-07-20
ABMINTLLTD,EQ,44.17,44.17,44.17,44.17,40.16,9.99,5,0.0022085,N,12-Sep-2024,Annual General Meeting,9.99,allSec,2026-07-20
PVSL,EQ,99.9,109.29,98.96,106.51,97.11,9.68,653911,691.0531448,N,17-Sep-2024,Dividend - Rs 0.50 Per Share,9.68,allSec,2026-07-20
PANAMAPET,EQ,418.0,459.0,417.1,457.05,418.05,9.33,569973,2565.2774811,N,02-Sep-2025,Dividend - Rs 3 Per Share,9.33,allSec,2026-07-20
COMSYN,EQ,186.4,224.6,186.11,206.71,189.27,9.21,3029942,6345.001542200001,N,22-Sep-2025,Dividend - Re 0.40 Per Share,9.21,allSec,2026-07-20
DYCL,EQ,389.4,430.0,379.1,421.4,386.5,9.03,5684951,23693.1702827,N,10-Jul-2026,Dividend - Rs 0.50 Per Share,9.03,allSec,2026-07-20
ORIENTHOT,EQ,125.1,139.0,125.1,137.84,126.61,8.87,1655295,2240.4417825,N,23-Jul-2026,Dividend - Rs 0.65 Per Share,8.87,allSec,2026-07-20
FEDDERSHOL,EQ,45.2,48.24,45.2,48.11,44.19,8.87,4467677,2133.3157675,N,-,-,8.87,allSec,2026-07-20
SILLYMONKS,EQ,16.2,17.0,15.72,16.85,15.63,7.81,10561,1.7584065,N,15-Feb-2021,Interim Dividend - Rs 0.50 Per Share,7.81,allSec,2026-07-20
DIACABS,EQ,220.0,242.6,219.99,239.31,222.38,7.61,6841195,16051.4958285,N,03-Dec-2024,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,7.61,allSec,2026-07-20
SGFIN,EQ,626.0,693.7,626.0,678.8,631.15,7.55,1433852,9674.199444,N,-,-,7.55,allSec,2026-07-20
TURTLEMINT,EQ,142.0,154.3,140.32,146.24,136.06,7.48,8898334,13235.381991600001,N,-,-,7.48,allSec,2026-07-20
