key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal,_collected_on
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,8570.6,188.85,2.25,8397.25,8575.65,8381.1,8381.75,9918.65,6730.3,7.94,1.18,1.03,0,11,1,19.66,-1.67,17-Jul-2026,8460.6,8716.5,7162.5,2026-07-20
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,27882.25,-626.25,-2.2,27917.9,28043.45,27706.75,28508.5,29748.45,23957.45,18.59,2.23,0.68,5,5,0,1.26,-0.04,17-Jul-2026,28154.1,27892.05,27534.5,2026-07-20
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,914.65,-4.05,-0.44,916.0,916.15,906.8,918.7,974.5,638.65,40.42,4.16,0.33,8,2,0,-8.53,12.66,17-Jul-2026,937.15,811.9,999.9,2026-07-20
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,16552.45,269.55,1.66,16308.4,16562.75,16280.75,16282.9,16585.2,13536.5,42.71,5.65,0.55,2,18,0,12.85,5.64,17-Jul-2026,16295.9,15669.0,14668.3,2026-07-20
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,39627.1,230.75,0.59,39244.45,39684.15,39144.15,39396.35,40472.45,32587.95,70.87,12.36,0.4,3,10,0,2.58,6.42,17-Jul-2026,38649.65,37237.0,38630.75,2026-07-20
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,11390.95,92.3,0.82,11247.1,11408.9,11236.8,11298.65,12445.7,10580.95,8.97,1.53,2.41,2,13,0,-3.24,1.98,17-Jul-2026,11176.55,11169.75,11771.9,2026-07-20
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,51414.35,590.65,1.16,50859.05,51467.2,50786.15,50823.7,51696.45,40352.9,46.36,6.18,0.38,6,24,0,14.08,6.0,17-Jul-2026,51029.6,48505.0,45067.3,2026-07-20
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,31955.35,77.5,0.24,31870.4,31977.75,31656.4,31877.85,32654.2,26788.05,22.75,4.15,0.75,13,17,0,6.74,0.86,17-Jul-2026,32345.65,31683.2,29937.2,2026-07-20
SECTORAL INDICES,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MS FIN SERV,22363.45,87.45,0.39,22229.9,22369.1,22134.0,22276.0,22772.5,17421.5,28.62,3.35,0.43,12,18,0,19.92,-0.48,17-Jul-2026,22739.0,22472.15,18648.0,2026-07-20
SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,9579.65,-26.85,-0.28,9588.45,9667.4,9544.2,9606.5,10591.6,7748.35,18.69,8.65,0.65,13,7,0,-6.27,1.36,17-Jul-2026,9708.15,9450.9,10220.25,2026-07-20
SECTORAL INDICES,NIFTY CHEMICALS,NIFTY CHEMICALS,30485.15,218.45,0.72,30202.75,30568.3,30179.7,30266.7,31895.45,24851.65,48.5,4.36,0.56,9,11,0,-1.69,2.14,17-Jul-2026,29700.75,29846.0,31009.81,2026-07-20
SECTORAL INDICES,NIFTY500 HEALTHCARE,NIFTY500 HEALTH,21435.15,315.5,1.49,21142.55,21443.1,21115.65,21119.65,21470.95,16294.6,44.81,6.01,0.48,9,39,0,0.0,5.6,17-Jul-2026,21155.25,20298.15,0.0,2026-07-20
SECTORAL INDICES,NIFTY REITS & REALTY,NIFTY REITS REALTY,1963.0,-1.8,-0.09,1965.7,1966.5,1955.3,1964.8,1976.65,1632.55,53.64,2.67,3.17,9,6,0,0.0,8.23,17-Jul-2026,1971.1,1813.65,0.0,2026-07-20
SECTORAL INDICES,NIFTY CEMENT,NIFTY CEMENT,15392.6,117.65,0.77,15242.3,15402.05,15164.2,15274.95,18188.6,13534.8,28.93,2.27,0.51,4,12,0,0.0,3.18,17-Jul-2026,15142.1,14918.65,0.0,2026-07-20
STRATEGY INDICES,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY DIV OPPS 50,5860.5,34.85,0.6,5833.45,5861.75,5824.75,5825.65,6584.65,5614.0,12.97,2.54,2.45,13,36,1,-3.37,0.3,17-Jul-2026,5838.05,5842.85,6064.95,2026-07-20
STRATEGY INDICES,NIFTY GROWTH SECTORS 15,NIFTY GROWSECT 15,11135.3,-8.95,-0.08,11175.8,11175.8,11115.1,11144.25,12852.45,10329.35,28.01,6.46,1.5,8,7,0,-4.04,4.06,17-Jul-2026,11028.05,10700.6,11604.35,2026-07-20
STRATEGY INDICES,NIFTY100 QUALITY 30,NIFTY100 QUALTY30,5553.7,11.7,0.21,5548.0,5559.65,5534.15,5542.0,0.0,0.0,27.18,6.94,1.78,14,16,0,-0.97,1.11,17-Jul-2026,5512.65,5493.0,5607.85,2026-07-20
STRATEGY INDICES,NIFTY50 VALUE 20,NIFTY50 VALUE 20,12062.4,-78.0,-0.64,12040.05,12098.45,12008.5,12140.4,13684.4,11528.6,15.06,2.15,1.72,6,14,0,-5.41,0.65,17-Jul-2026,12075.85,11984.25,12751.9,2026-07-20
STRATEGY INDICES,NIFTY50 TR 2X LEVERAGE,NIFTY50 TR 2X LEV,18413.15,-137.75,-0.74,18324.1,18433.25,18242.1,18550.9,22435.45,15547.15,0,0,0,,,,-10.07,1.69,17-Jul-2026,18367.15,18107.2,20475.9,2026-07-20
STRATEGY INDICES,NIFTY50 PR 2X LEVERAGE,NIFTY50 PR 2X LEV,12132.4,-90.8,-0.74,12073.75,12145.7,12019.75,12223.2,14993.4,10365.7,0,0,0,,,,-12.04,1.41,17-Jul-2026,12108.55,11964.15,13793.75,2026-07-20
STRATEGY INDICES,NIFTY50 TR 1X INVERSE,NIFTY50 TR 1X INV,177.6,0.7,0.4,178.0,178.4,177.5,176.9,193.35,161.8,0,0,0,,,,5.53,-0.78,17-Jul-2026,177.75,179.0,168.3,2026-07-20
STRATEGY INDICES,NIFTY50 PR 1X INVERSE,NIFTY50 PR 1X INV,218.4,0.85,0.39,218.9,219.4,218.25,217.55,236.5,197.8,0,0,0,,,,6.59,-0.64,17-Jul-2026,218.55,219.8,204.9,2026-07-20
STRATEGY INDICES,NIFTY50 DIVIDEND POINTS,NIFTY50 DIV POINT,141.1,0.0,0.0,141.1,141.1,141.1,141.1,0.0,0.0,0,0,0,,,,-5.3,31.32,17-Jul-2026,134.61,107.45,149.0,2026-07-20
STRATEGY INDICES,NIFTY ALPHA 50,NIFTY ALPHA 50,54064.3,413.0,0.77,53598.85,54065.85,53549.05,53651.3,0.0,0.0,24.6,5.04,0.81,15,35,0,3.2,-0.63,17-Jul-2026,54090.85,54407.4,52389.35,2026-07-20
STRATEGY INDICES,NIFTY50 EQUAL WEIGHT,NIFTY50 EQL WGT,32906.25,61.7,0.19,32823.55,32908.25,32761.1,32844.55,0.0,0.0,24.15,3.52,1.34,15,35,0,4.65,0.68,17-Jul-2026,32825.75,32684.85,31445.1,2026-07-20
STRATEGY INDICES,NIFTY100 EQUAL WEIGHT,NIFTY100 EQL WGT,34651.2,160.05,0.46,34461.9,34653.75,34406.15,34491.15,0.0,0.0,20.86,3.37,1.31,32,68,0,5.54,0.45,17-Jul-2026,34548.55,34496.45,32831.65,2026-07-20
STRATEGY INDICES,NIFTY100 LOW VOLATILITY 30,NIFTY100 LOWVOL30,20182.05,77.2,0.38,20082.2,20182.25,20050.5,20104.85,0.0,0.0,25.23,4.17,1.41,9,21,0,0.31,2.24,17-Jul-2026,20100.75,19739.65,20118.75,2026-07-20
STRATEGY INDICES,NIFTY200 QUALITY 30,NIFTY200 QUALTY30,20214.3,97.25,0.48,20126.35,20240.85,20088.45,20117.05,0.0,0.0,28.18,9.06,1.8,11,19,0,-2.73,0.79,17-Jul-2026,20133.95,20055.9,20782.6,2026-07-20
STRATEGY INDICES,NIFTY ALPHA LOW-VOLATILITY 30,NIFTY ALPHALOWVOL,26973.85,211.2,0.79,26749.3,26973.85,26720.4,26762.65,0.0,0.0,27.09,4.39,1.09,6,24,0,1.38,2.57,17-Jul-2026,26805.75,26298.5,26607.3,2026-07-20
STRATEGY INDICES,NIFTY200 MOMENTUM 30,NIFTY200MOMENTM30,30527.8,326.05,1.08,30204.5,30529.15,30154.4,30201.75,0.0,0.0,26.02,4.81,1.13,8,22,0,-0.53,-2.32,17-Jul-2026,30570.25,31253.85,30690.5,2026-07-20
STRATEGY INDICES,NIFTY MIDCAP150 QUALITY 50,NIFTY M150 QLTY50,24180.7,176.7,0.74,23979.4,24183.4,23950.3,24004.0,0.0,0.0,32.2,7.32,1.06,13,36,1,-3.0,-1.07,17-Jul-2026,24154.15,24442.5,24929.3,2026-07-20
