key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,_collected_on
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,39631.35,235.0,0.6,39244.45,39684.15,39144.15,39396.35,40472.45,32587.95,0,70.87,12.36,0.4,3,10,0,2.59,6.43,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,37237.0,38649.65,38630.75,39396.35,2026-07-20
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,11391.9,93.25,0.83,11247.1,11408.9,11236.8,11298.65,12445.7,10580.95,0,8.97,1.53,2.41,2,13,0,-3.23,1.99,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,11169.75,11176.55,11771.9,11298.65,2026-07-20
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,51422.1,598.4,1.18,50859.05,51467.2,50786.15,50823.7,51696.45,40352.9,0,46.36,6.18,0.38,6,24,0,14.1,6.01,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,48505.0,51029.6,45067.3,50823.7,2026-07-20
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,31956.65,78.8,0.25,31870.4,31977.75,31656.4,31877.85,32654.2,26788.05,0,22.75,4.15,0.75,13,17,0,6.75,0.86,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,31683.2,32345.65,29937.2,31877.85,2026-07-20
SECTORAL INDICES,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MS FIN SERV,22364.1,88.1,0.4,22229.9,22369.1,22134.0,22276.0,22772.5,17421.5,0,28.62,3.35,0.43,12,18,0,19.93,-0.48,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,22472.15,22739.0,18648.0,22276.0,2026-07-20
SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,9580.3,-26.2,-0.27,9588.45,9667.4,9544.2,9606.5,10591.6,7748.35,0,18.69,8.65,0.65,13,7,0,-6.26,1.37,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,9450.9,9708.15,10220.25,9606.5,2026-07-20
SECTORAL INDICES,NIFTY CHEMICALS,NIFTY CHEMICALS,30493.75,227.05,0.75,30202.75,30568.3,30179.7,30266.7,31895.45,24851.65,0,48.5,4.36,0.56,9,11,0,-1.66,2.17,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,29846.0,29700.75,31009.81,30266.7,2026-07-20
SECTORAL INDICES,NIFTY500 HEALTHCARE,NIFTY500 HEALTH,21435.3,315.65,1.49,21142.55,21443.1,21115.65,21119.65,21470.95,16294.6,0,44.81,6.01,0.48,9,39,0,0.0,5.6,,19-Jun-2026,17-Jul-2026,13-Jul-2026,20298.15,21155.25,0.0,21119.65,2026-07-20
SECTORAL INDICES,NIFTY REITS & REALTY,NIFTY REITS REALTY,1963.0,-1.8,-0.09,1965.7,1966.5,1955.3,1964.8,1976.65,1632.55,0,53.64,2.67,3.17,9,6,0,0.0,8.23,,19-Jun-2026,17-Jul-2026,13-Jul-2026,1813.65,1971.1,0.0,1964.8,2026-07-20
SECTORAL INDICES,NIFTY CEMENT,NIFTY CEMENT,15391.55,116.6,0.76,15242.3,15402.05,15164.2,15274.95,18188.6,13534.8,0,28.93,2.27,0.51,4,11,1,0.0,3.17,,19-Jun-2026,17-Jul-2026,13-Jul-2026,14918.65,15142.1,0.0,15274.95,2026-07-20
