symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
MTARTECH,BE,5744.0,5744.0,5744.0,5744.0,6046.0,-5.0,59096,3394.47424,N,04-Aug-2023,Annual General Meeting,-5.0,SecGtr20,2026-07-20
GSLSU,EQ,26.55,27.72,25.47,25.47,26.81,-5.0,347293,89.254301,N,-,-,-5.0,SecGtr20,2026-07-20
RUBYMILLS,BE,401.8,419.0,392.95,392.95,413.6,-4.99,16609,66.2018131,N,04-Sep-2025,Dividend - Rs 1.75 Per Share,-4.99,SecGtr20,2026-07-20
UFBL,EQ,667.0,696.4,666.85,666.85,701.9,-4.99,110896,747.5942944,N,-,-,-4.99,SecGtr20,2026-07-20
AQYLON,EQ,31.77,31.77,31.77,31.77,33.44,-4.99,49397,15.693426899999999,N,05-Mar-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,-4.99,SecGtr20,2026-07-20
NATIONSTD,EQ,392.9,392.9,392.9,392.9,413.5,-4.98,3440,13.51576,N,-,-,-4.98,SecGtr20,2026-07-20
HILTON,BE,22.94,22.94,22.94,22.94,24.14,-4.97,91194,20.9199036,N,24-Feb-2026,Rights 29:60 @ Premium Rs 6.68/-,-4.97,SecGtr20,2026-07-20
BLUECOAST,BE,27.4,28.52,26.05,26.05,27.4,-4.93,478,0.1249014,N,20-Sep-2024,Annual General Meeting,-4.93,SecGtr20,2026-07-20
GALLANTT,EQ,635.0,642.5,619.15,620.0,651.7,-4.86,292713,1831.2417993000001,N,12-Sep-2025,Dividend - Rs 1.25 Per Share,-4.86,SecGtr20,2026-07-20
TFL,EQ,11.0,11.49,10.3,10.68,11.27,-5.24,19019,2.0103082999999997,N,04-Nov-2022,Rights 1:1,-5.24,SecLwr20,2026-07-20
VIPULLTD,BE,14.86,14.86,14.86,14.86,15.64,-4.99,38963,5.789901800000001,N,13-Sep-2024,Annual General Meeting,-4.99,SecLwr20,2026-07-20
